"F [GHz]","Qdiff []","Ldiff []"
0,,
0.05,0.910361637169144,4.29419219708574
0.1,1.76039034699172,4.25789537944545
0.15,2.54506056684483,4.23875671993914
0.2,3.25487046245863,4.21809282917082
0.25,3.89719435265132,4.19805023388162
0.3,4.48102549748517,4.17944842649672
0.35,5.01460024907749,4.16243543072328
0.4,5.50533651928868,4.14693331860913
0.45,5.95999063664323,4.13282926772102
0.5,6.3846467579813,4.12003157787052
0.55,6.78463216509041,4.10847437201323
0.6,7.1644562598025,4.09810870606439
0.65,7.5278060824558,4.08889338997171
0.7,7.87759221703071,4.08078884124879
0.75,8.2160265388206,4.07375391155874
0.8,8.54471414900162,4.06774480066577
0.85,8.86474696003942,4.0627151967697
0.9,9.17679157075253,4.05861701666249
0.95,9.48116795135646,4.05540134983289
1,9.77791794306177,4.05301938340479
1.05,10.0690299022583,4.05119957784507
1.1,10.3542766584777,4.05009197370117
1.15,10.6337782409399,4.04965374898799
1.2,10.9076153185074,4.04984639711033
1.25,11.1758411040774,4.0506355244101
1.3,11.4384896625119,4.05199056652454
1.35,11.6955816876259,4.0538844688765
1.4,11.9471285090277,4.0562933599204
1.45,12.1931348684654,4.05919623445182
1.5,12.4336008462676,4.06257465674878
1.55,12.6685232047082,4.06641248840508
1.6,12.8978963342796,4.07069564259464
1.65,13.121712931696,4.07541186459468
1.7,13.3399644981488,4.08055053728325
1.75,13.5526417181808,4.08610250974071
1.8,13.759734759831,4.09205994682597
1.85,13.9612335231329,4.09841619755424
1.9,14.1571278546548,4.10516568017351
1.95,14.3474077394087,4.11230378198234
2,14.5320634771327,4.11982677210362
2.05,14.7110858470971,4.12773172561517
2.1,14.8844662637327,4.13601645762053
2.15,15.0521969241736,4.14467946601396
2.2,15.2142709481088,4.15371988185313
2.25,15.3706825099004,4.16313742639304
2.3,15.52142696274,4.17293237396311
2.35,15.6665009545143,4.18310551997848
2.4,15.8059025350698,4.19365815347531
2.45,15.9396312546019,4.20459203364365
2.5,16.0676882529689,4.21590936990502
2.55,16.1900763398382,4.22761280514594
2.6,16.3068000656133,4.23970540177262
2.65,16.4178657832209,4.25219063030083
2.7,16.5232817008787,4.26507236023524
2.75,16.6230579260436,4.27835485302848
2.8,16.7172065007968,4.29204275694132
2.85,16.8057414289595,4.30614110365192
2.9,16.8886786952836,4.32065530648592
2.95,16.9660362770816,4.33559116015951
3,17.0378341486846,4.35095484194573
3.05,17.104094279139,4.36675291419036
3.1,17.1648406235441,4.38299232811758
3.15,17.2200991084668,4.39968042887892
3.2,17.2698976118404,4.41682496180962
3.25,17.3142659377684,4.43443407986771
3.3,17.353235786646,4.45251635224005
3.35,17.3868407209967,4.47108077410861
3.4,17.4151161274205,4.49013677757864
3.45,17.4380991750272,4.50969424377784
3.5,17.4558287707242,4.52976351614344
3.55,17.4683455117048,4.5503554149211
3.6,17.4756916354783,4.57148125290653
3.65,17.4779109677544,4.59315285246827
3.7,17.4750488684912,4.61538256389638
3.75,17.4671521763886,4.6381832851292
3.8,17.4542691521033,4.66156848291808
3.85,17.4364494204339,4.68555221549649
3.9,17.4137439117217,4.7101491568287
3.95,17.3862048026847,4.73537462252083
4,17.3538854568966,4.76124459748577
4.05,17.3168403651027,4.78777576546281
4.1,17.2751250855526,4.81498554050225
4.15,17.2287961845135,4.84289210053593
4.2,17.1779111771185,4.87151442316573
4.25,17.122528468688,4.90087232381393
4.3,17.0627072966505,4.93098649639272
4.35,16.9985076731806,4.96187855666394
4.4,16.9299903286568,4.99357108847563
4.45,16.8572166560347,5.02608769307862
4.5,16.7802486562188,5.05945304174451
4.55,16.6991488845072,5.09369293192641
4.6,16.6139803981773,5.12883434722545
4.65,16.5248067052669,5.16490552144983
4.7,16.4316917146026,5.20193600707968
4.75,16.3346996871183,5.23995674847922
4.8,16.2338951884961,5.27900016022986
4.85,16.1293430431626,5.31910021099228
4.9,16.0211082896601,5.36029251334447
4.95,15.9092561374139,5.40261442008453
5,15.7938519249041,5.44610512753476
5.05,15.6749610792519,5.49080578643489
5.1,15.5526490772262,5.53675962107052
5.15,15.4269814076579,5.58401205734638
5.2,15.2980235352777,5.63261086058557
5.25,15.1658408659489,5.68260628391488
5.3,15.0304987132974,5.73405122818463
5.35,14.8920622667186,5.78700141446982
5.4,14.750596560749,5.84151557030955
5.45,14.6061664457804,5.89765563096449
5.5,14.458836560099,5.9554869571102
5.55,14.3086713032249,6.01507857053869
5.6,14.1557348105295,6.07650340961425
5.65,14.0000909291041,6.13983860642516
5.7,13.8418031948547,6.20516578779292
5.75,13.6809348107939,6.27257140254941
5.8,13.5175486265021,6.34214707777265
5.85,13.3517071187298,6.41399000699033
5.9,13.1834723731089,6.48820337372013
5.95,13.0129060669451,6.5648968141252
6,12.8400694530602,6.6441869230287
6.05,12.6650233446527,6.72619780806137
6.1,12.4878281011467,6.81106169732188
6.15,12.3085436149989,6.89891960662117
6.2,12.1272292994303,6.98992207317568
6.25,11.9439440770561,7.08422996352359
6.3,11.7587463693787,7.18201536448498
6.35,11.5716940871171,7.28346256719188
6.4,11.3828446213415,7.3887691556057
6.45,11.192254835383,7.49814721254886
6.5,10.9999810574912,7.61182465814266
6.55,10.8060790742086,7.73004673770938
6.6,10.6106041244363,7.85307767871804
6.65,10.4136108941614,7.9812025392936
6.7,10.2151535118202,8.11472927424553
6.75,10.0152855442703,8.25399104859795
6.8,9.81405999334581,8.3993488333281
6.85,9.61152929297111,8.5511943235789
6.9,9.40774530680693,8.70995322616455
6.95,9.20275932640682,8.87608897092933
7,8.9966220698593,9.05010690968458
7.05,8.78938368089292,9.2325590773178
7.1,8.58109372842342,9.42404960258402
7.15,8.37180120652036,9.62524087146194
7.2,8.16155453477269,9.83686056427933
