"F [GHz]","Qdiff []","Ldiff []"
0,0,
0.05,0.808221302339503,3.86967895368629
0.1,1.57126213712022,3.83847632553214
0.15,2.28728026944524,3.82263144374075
0.2,2.94819767089407,3.80595244715383
0.25,3.55786930951855,3.78995089976052
0.3,4.1214264002178,3.77511539695406
0.35,4.64391540660947,3.76148328766977
0.4,5.1302410082315,3.74896260242924
0.45,5.58518969996549,3.73745681001403
0.5,6.01333250661989,3.72689622021975
0.55,6.41888039885662,3.71723630663733
0.6,6.80556366856627,3.70844832091741
0.65,7.17656216390773,3.70051071687813
0.7,7.53448497099721,3.69340331672576
0.75,7.88138736628356,3.68710400590068
0.8,8.21881171445423,3.68158725489683
0.85,8.54784152327796,3.67682380954102
0.9,8.86916108342728,3.67278105696072
0.95,9.18311585465781,3.66942373309137
1,9.48977073858991,3.66671475872088
1.05,9.79288405002196,3.66436178585091
1.1,10.0903723200975,3.66257996339309
1.15,10.3823620402679,3.6613288471994
1.2,10.6689530975075,3.66057259683529
1.25,10.9502266814979,3.66027957630608
1.3,11.2262505339262,3.66042193217245
1.35,11.4970823934199,3.66097517960129
1.4,11.762772233533,3.66191781343363
1.45,12.0233637077328,3.66323095274214
1.5,12.278895085093,3.6648980219871
1.55,12.529399868564,3.6669044686639
1.6,12.7749072235714,3.66923751552008
1.65,13.0154423001188,3.6718859444842
1.7,13.2510265011126,3.67483990907767
1.75,13.4816777288947,3.67809077203481
1.8,13.7074106281274,3.68163096500364
1.85,13.9282368342129,3.68545386744833
1.9,14.1441652306429,3.68955370216341
1.95,14.3552022152261,3.69392544510823
2,14.5613519731746,3.69856474755996
2.05,14.7626167540326,3.70346786884747
2.1,14.9589971491209,3.70863161817085
2.15,15.1504923662057,3.7140533042223
2.2,15.3371004984057,3.7197306915117
2.25,15.5188187847351,3.72566196245972
2.3,15.6956438601341,3.73184568446059
2.35,15.8675719933032,3.73828078123572
2.4,16.0345993110567,3.74496650789961
2.45,16.196722008309,3.75190242924615
2.5,16.3539365431475,3.75908840083666
2.55,16.5062398167149,3.76652455253238
2.6,16.6536293378819,3.77421127416795
2.65,16.7961033728781,3.78214920310546
2.7,16.9336610802029,3.79033921344852
2.75,17.0663026312785,3.7987824067256
2.8,17.1940293173719,3.80748010388187
2.85,17.3168436434019,3.81643383843953
2.9,17.4347494092977,3.8256453507086
2.95,17.547751779572,3.83511658294533
3,17.6558573418303,3.84484967537144
3.05,17.7590741549002,3.85484696297865
3.1,17.8574117872956,3.86511097305447
3.15,17.9508813466833,3.8756444233741
3.2,18.0394955010239,3.8864502210116
3.25,18.1232684920288,3.89753146172994
3.3,18.2022161415523,3.90889142991662
3.35,18.2763558514969,3.92053359903562
3.4,18.345706597811,3.93246163257233
3.45,18.4102889190865,3.94467938545179
3.5,18.4701249002859,3.95719090591393
3.55,18.5252381520436,3.97000043783395
3.6,18.5756537860039,3.9831124234776
3.65,18.6213983866171,3.99653150668548
3.7,18.6624999797588,4.01026253648154
3.75,18.6989879985661,4.02431057110446
3.8,18.7308932468091,4.03868088246227
3.85,18.7582478601285,4.05337896101284
3.9,18.7810852654218,4.06841052107488
3.95,18.7994401386616,4.08378150657609
4,18.8133483613905,4.09949809724687
4.05,18.8228469761317,4.11556671527027
4.1,18.8279741409327,4.13199403239998
4.15,18.8287690832367,4.14878697756108
4.2,18.8252720532712,4.16595274494909
4.25,18.8175242771181,4.18349880264562
4.3,18.8055679096282,4.20143290177049
4.35,18.7894459873128,4.21976308619241
4.4,18.7692023813502,4.23849770282214
4.45,18.7448817508232,4.25764541251483
4.5,18.7165294962972,4.27721520161005
4.55,18.6841917138326,4.29721639414056
4.6,18.6479151495276,4.31765866474378
4.65,18.607747154665,4.3385520523123
4.7,18.5637356415396,4.35990697442286
4.75,18.5159290400265,4.38173424258627
4.8,18.4643762549527,4.40404507836404
4.85,18.4091266243169,4.42685113040129
4.9,18.3502298784042,4.45016449242886
4.95,18.2877360998396,4.47399772229198
5,18.2216956846022,4.4983638620672
