"F [GHz]","Qdiff []","Ldiff []"
0,,
0.05,0.862573039718039,4.10525818600669
0.1,1.67220735884419,4.07071218966913
0.15,2.42566952697537,4.05225157533128
0.2,3.11565455376951,4.03279449870715
0.25,3.74878208598265,4.01425768118646
0.3,4.33260738004381,3.99729994173391
0.35,4.87380078047865,3.98198138041417
0.4,5.37823164227914,3.96817067582261
0.45,5.85120981924595,3.95571534778021
0.5,6.29754746685794,3.94449109536643
0.55,6.72151697179213,3.9344052907229
0.6,7.12679826210816,3.9253881169922
0.65,7.51645709816149,3.91738327051713
0.7,7.89296009178875,3.91034131281371
0.75,8.25821743618163,3.90421572484065
0.8,8.61364159552477,3.89896094132877
0.85,8.96021229511368,3.89453163008362
0.9,9.29854132849784,3.89088266431288
0.95,9.62893346703466,3.88796942512268
1,9.95144173518222,3.88574821650602
1.05,10.2696115156658,3.88389998702406
1.1,10.581702154924,3.88266829767457
1.15,10.8877865917051,3.88201003346301
1.2,11.1879153720431,3.88188712694364
1.25,11.4821246913236,3.88226610160251
1.3,11.7704416163814,3.8831175986448
1.35,12.0528873993499,3.88441591788408
1.4,12.3294795209571,3.88613858953159
1.45,12.6002329051725,3.88826598485702
1.5,12.8651606082417,3.89078096825428
1.55,13.1242741871568,3.89366859002422
1.6,13.3775838841069,3.89691581740018
1.65,13.6250987157677,3.90051130046142
1.7,13.8668265234559,3.90444516926036
1.75,14.102774017909,3.9087088585003
1.8,14.332946837389,3.91329495629991
1.85,14.5573496280945,3.91819707387611
1.9,14.7759861495269,3.92340973330612
1.95,14.9888594037049,3.92892827086658
2,15.1959717849305,3.9347487537658
2.05,15.3973252457773,3.94086790837912
2.1,15.5929214746279,3.94728305836072
2.15,15.7827620801727,3.95399207123698
2.2,15.9668487786656,3.96099331229067
2.25,16.1451835802156,3.96828560471892
2.3,16.3177689709488,3.97586819520016
2.35,16.4846080884545,3.98374072413349
2.4,16.645704888431,3.99190319992425
2.45,16.8010643009507,4.00035597678303
2.5,16.9506923751969,4.00909973558539
2.55,17.0945964118833,4.01813546740652
2.6,17.2327850829067,4.02746445940277
2.65,17.3652685380273,4.03708828276092
2.7,17.4920584986145,4.04700878247659
2.75,17.6131683386429,4.0572280687592
2.8,17.7286131532953,4.06774850989048
2.85,17.8384098156059,4.07857272638875
2.9,17.9425770216804,4.08970358635342
2.95,18.0411353250702,4.10114420188261
3,18.1341071609352,4.11289792647293
3.05,18.2215168606279,4.12496835332373
3.1,18.3033906573665,4.13735931448133
3.15,18.3797566836447,4.15007488076711
3.2,18.4506449610334,4.16311936244432
3.25,18.5160873830039,4.17649731058523
3.3,18.5761176913906,4.19021351910715
3.35,18.630771447082,4.20427302745274
3.4,18.6800859955102,4.21868112389482
3.45,18.7241004274772,4.23344334945096
3.5,18.7628555358342,4.24856550239817
3.55,18.7963937684953,4.26405364338109
3.6,18.8247591782372,4.27991410111183
3.65,18.8479973697242,4.29615347866257
3.7,18.8661554441498,4.31277866035566
3.75,18.8792819418702,4.32979681925865
3.8,18.8874267833798,4.34721542529568
3.85,18.8906412089495,4.36504225398847
3.9,18.8889777172299,4.38328539584406
3.95,18.8824900030894,4.40195326640891
4,18.8712328949495,4.4210546170119
4.05,18.8552622918467,4.44059854622202
4.1,18.834635100435,4.46059451204935
4.15,18.8094091721317,4.48105234492118
4.2,18.7796432405727,4.50198226146831
4.25,18.7453968595588,4.52339487916023
4.3,18.7067303416176,4.54530123183086
4.35,18.6637046973381,4.56771278614116
4.4,18.6163815755769,4.59064145902802
4.45,18.5648232046532,4.61409963619371
4.5,18.5090923346298,4.63810019169429
4.55,18.4492521807569,4.6626565086906
4.6,18.3853663681574,4.6877825014299
4.65,18.3174988778175,4.71349263853286
4.7,18.2457139939366,4.73980196766528
4.75,18.1700762526852,4.76672614168158
