"F [GHz]","Ldiff [] - $S='8um'","Ldiff [] - $S='11um'","Ldiff [] - $S='12um'","Ldiff [] - $S='14um'","Ldiff [] - $S='16um'","Qdiff [] - $S='8um'","Qdiff [] - $S='11um'","Qdiff [] - $S='12um'","Qdiff [] - $S='14um'","Qdiff [] - $S='16um'"
0,,,,,,,,,0,-0
0.05,4.91231607098891,4.72739334517746,4.66135685207335,4.51413172026879,4.39644912052799,0.964127437973695,0.932289460703617,0.926600735638616,0.904891540396393,0.884607899084208
0.1,4.87809197121213,4.69269461395877,4.62635532423246,4.48014007874908,4.36103531316006,1.86708595256668,1.8068124277388,1.7955628635851,1.75480917861428,1.71565441234539
0.15,4.86223492571802,4.67486232517467,4.60820764149364,4.46220521210442,4.34238948798644,2.70098845753315,2.61655871921546,2.60033883434424,2.54369243479228,2.4893110969215
0.2,4.84252798907499,4.65455131019502,4.58785025885214,4.44261252311694,4.32281900263063,3.44798780111242,3.34914310816545,3.32939355919766,3.26123164077802,3.19746085282269
0.25,4.82182496425765,4.63424142594884,4.56767528550512,4.42343017686108,4.30415051235592,4.11490621772696,4.01128484591957,3.98945177757206,3.91306542036243,3.84571781010312
0.3,4.80192901826254,4.61516218471701,4.5487968765201,4.40550289010912,4.28696451821647,4.71325652963371,4.61245025361765,4.58964976913478,4.50692580715741,4.44093324651203
0.35,4.78359148705927,4.59769414628084,4.53152625965149,4.38901841436878,4.27129549159112,5.25337040707518,5.16121231451233,5.13828688357194,5.05019626790714,4.98959858734524
0.4,4.76696427752922,4.58183791141268,4.51583798124678,4.3739276351556,4.25702680499747,5.74352352534276,5.66493908779735,5.64260092655672,5.54971691815313,5.49784344207319
0.45,4.75195431254582,4.56748110126885,4.50161707382315,4.36013680227935,4.24403977900561,6.19058629765428,6.13016872646544,6.10908594573131,6.01188239589323,5.97148574345771
0.5,4.7384090003898,4.55450787505982,4.48875353883242,4.34756900321416,4.23224830120603,6.60065387944657,6.56283289577423,6.54364560411589,6.44260026932205,6.4159256451929
0.55,4.72619362543277,4.5428302644506,4.47716567704311,4.33617238634112,4.22159467342856,6.97936634610114,6.96828928356256,6.95158452146203,6.84717217782114,6.83599558882098
