"F [GHz]","Ldiff [] - $R_out='180um'","Ldiff [] - $R_out='190um'","Ldiff [] - $R_out='200um'","Ldiff [] - $R_out='210um'","Ldiff [] - $R_out='213um'","Ldiff [] - $R_out='220um'","Qdiff [] - $R_out='180um'","Qdiff [] - $R_out='190um'","Qdiff [] - $R_out='200um'","Qdiff [] - $R_out='210um'","Qdiff [] - $R_out='213um'","Qdiff [] - $R_out='220um'"
0,,,,,,,,,0,0,0,0
0.05,2.94635288490682,3.29213367682791,3.65392599970224,4.01396042667912,4.13198709288,4.38835970213801,0.7537081833239,0.789028896049678,0.839202539896148,0.887720089932356,0.893176035754212,0.909320935678682
0.1,2.91628753464463,3.26140964524363,3.62055198966662,3.97916060531061,4.09528362653112,4.35000855692005,1.45732809343296,1.52775478382392,1.62445253523559,1.71718089890242,1.72670346446435,1.75897878131398
0.15,2.90108923579563,3.24596107309341,3.60423207576276,3.96158876710283,4.07668906200183,4.33111789566121,2.10975736657196,2.21382815451999,2.35317982104596,2.48420502967266,2.49697681857184,2.54575157811841
0.2,2.88494846142138,3.2290975837577,3.58628807403026,3.94215496916164,4.05638095622725,4.3105091940247,2.70245001389279,2.83773131168869,3.01509570656035,3.1780721300811,3.19391565279351,3.25921577820165
0.25,2.86927437635677,3.2124913433307,3.56857720810082,3.92294995440099,4.03651370801703,4.29036745413752,3.24023798540275,3.40479958315028,3.61631867990047,3.80601880621555,3.82518753247573,3.90678087688345
0.3,2.85453940086466,3.19686026394442,3.55194232262344,3.90497064465492,4.01805013828005,4.27167085132691,3.72942495416072,3.92229367613817,4.16510230129434,4.37760907421337,4.40039261696981,4.49788644037237
0.35,2.84080727649695,3.18239190707956,3.53662540485857,3.88852111758271,4.00124399456428,4.25468210933846,4.17623226066621,4.39703824903469,4.6690464440267,4.90139241496226,4.9279781590217,5.04092576367373
0.4,2.82802398525386,3.16905981647286,3.52260948416866,3.87358624634139,3.98604255069827,4.23935422861784,4.58662310491241,4.83512753143249,5.13474720587892,5.38451049472265,5.41499616801264,5.54295933054343
0.45,2.81612762506521,3.1567815282559,3.50980050510534,3.86004613040998,3.97230347264276,4.22554822754122,4.96624082580142,5.2420633790509,5.56801362279906,5.83305797376821,5.86749414032928,6.01006581118754
