"F [GHz]","Ldiff [] - $W='15um'","Ldiff [] - $W='17.5um'","Ldiff [] - $W='20um'","Ldiff [] - $W='22.5um'","Ldiff [] - $W='25um'","Ldiff [] - $W='27.5um'","Ldiff [] - $W='30um'","Qdiff [] - $W='15um'","Qdiff [] - $W='17.5um'","Qdiff [] - $W='20um'","Qdiff [] - $W='22.5um'","Qdiff [] - $W='25um'","Qdiff [] - $W='27.5um'","Qdiff [] - $W='30um'"
0,,,,,,,,0,,,0,,,
0.05,6.36075840815174,6.0886246468358,5.79114104566242,5.47099616186935,5.21381209066479,4.97195963399641,4.72739334517746,0.618886184666598,0.691092094918561,0.751190674646604,0.802083901880361,0.853245788943377,0.898536329027343,0.932289460703617
0.1,6.34555122943527,6.06989227195901,5.76870261060837,5.44590659514406,5.18475883110209,4.94055259050033,4.69269461395877,1.22762716554467,1.36679748840947,1.48037999264114,1.57510268087839,1.66830486899662,1.74962946434537,1.8068124277388
0.15,6.33973559361164,6.06188255334363,5.75817215144486,5.43424400990087,5.17058592296811,4.92468281189646,4.67486232517467,1.82530854893805,2.02539801611507,2.18483556142578,2.31543692493508,2.44072809370414,2.54705833433821,2.61655871921546
0.2,6.33343966293476,6.05308648110131,5.74660031682546,5.42118735470246,5.15480911194987,4.90675176402239,4.65455131019502,2.40751524313854,2.66087829749756,2.85712979348587,3.0134587471119,3.1599031387304,3.27893632451758,3.34914310816545
0.25,6.3274180745166,6.04448269748645,5.7352390867347,5.4081806629669,5.13916081264877,4.88881166420751,4.63424142594884,2.97281720130175,3.27184915535796,3.49649359123124,3.6687323224085,3.82722746956065,3.94876880016562,4.01128484591957
0.3,6.32204232487273,6.03655123409194,5.72468301301718,5.39594688253153,5.12447542768175,4.87188868343884,4.61516218471701,3.5204203941996,3.85798094722794,4.10362508120795,4.28289853887357,4.44647660349652,4.56292223096305,4.61245025361765
0.35,6.31742517137494,6.02944244598043,5.71510786853494,5.38471794968148,5.11100555251256,4.85631555873064,4.59769414628084,4.04971894136863,4.41927111176431,4.67958370117125,4.85805693138493,5.02166932385129,5.12769560680274,5.16121231451233
0.4,6.31354965235261,6.02314574794335,5.70649499717819,5.37449058362594,5.09873974365339,4.84210621036938,4.58183791141268,4.56020263961903,4.95588618828335,5.22557522191902,5.39644021714604,5.556704144799,5.64886438404985,5.66493908779735
0.45,6.31035233713301,6.01759533782279,5.69876488233151,5.36518541487101,5.08758774598723,4.82917575743401,4.56748110126885,5.05150925312794,5.46821677560486,5.74302271334321,5.90049506367391,6.05547215749842,6.13184582913395,6.13016872646544
